keys,en
STORY_BLIGHT_STOCKADE,Reinforce the stockade
STORY_BLIGHT_STOCKADE_DETAIL,Spend boards to reduce the enemy settlement's pressure.
STORY_BLIGHT_ENDURE,Hold what we have
STORY_BLIGHT_ENDURE_DETAIL,Save supplies but allow corruption and pressure to grow.
STORY_STORM_TITLE,A black front approaches
STORY_STORM_BODY,Wind tears at the treeline as a hard storm bears down on the settlement.
STORY_STORM_REINFORCE,Brace the settlement
STORY_STORM_REINFORCE_DETAIL,Use timber to protect movement and hold back storm-fed corruption.
STORY_STORM_SHELTER,Shelter all hands
STORY_STORM_SHELTER_DETAIL,Stop exposed work and protect morale through the worst of it.
STORY_STORM_WORK,Work through it
STORY_STORM_WORK_DETAIL,Keep every hand outside and accept greater pressure.
STORY_DROUGHT_TITLE,The wells sink
STORY_DROUGHT_BODY,Heat cracks the soil and the waterline falls faster than the colony can drink.
STORY_DROUGHT_CISTERN,Line a deep cistern
STORY_DROUGHT_CISTERN_DETAIL,Spend stone to protect farms and thirst for several days.
STORY_DROUGHT_RATION,Ration water
STORY_DROUGHT_RATION_DETAIL,Reduce thirst at the cost of farm output and morale.
STORY_DROUGHT_ENDURE,Trust the clouds
STORY_DROUGHT_ENDURE_DETAIL,Keep all supplies and bear the full drought.
STORY_EVENT_LOST_CARAVAN_TITLE,Lanterns off the road
STORY_EVENT_LOST_CARAVAN_BODY,A caravan overdue by two nights has been seen circling the same corrupted ridge.
STORY_EVENT_EMBERGLASS_PEDDLER_TITLE,The glasswright's cart
STORY_EVENT_EMBERGLASS_PEDDLER_BODY,A lone peddler offers emberglass charms and asks what the Hearth can spare.
STORY_EVENT_ROAD_WARDENS_TITLE,Wardens at the milepost
STORY_EVENT_ROAD_WARDENS_BODY,Armed roadkeepers offer to mark safer crossings between the colonies.
STORY_EVENT_BROKEN_WHEEL_TITLE,A wheel in the rain
STORY_EVENT_BROKEN_WHEEL_BODY,A supply wagon has broken an axle where the road enters the marsh.
STORY_EVENT_HARVEST_FAIR_TITLE,Baskets at the gate
STORY_EVENT_HARVEST_FAIR_BODY,Nearby steads gather with their region's best harvest and an appetite for trade.
STORY_EVENT_SEPARATED_FAMILY_TITLE,A name across the fire
STORY_EVENT_SEPARATED_FAMILY_BODY,New arrivals recognize a family name carved into the Hearth memorial.
STORY_EVENT_ORPHANED_BAND_TITLE,Children beneath ash-cloaks
STORY_EVENT_ORPHANED_BAND_BODY,A small band reaches the palisade without the adults who began their journey.
STORY_EVENT_RETURNING_SCOUTS_TITLE,Footsteps from the old road
STORY_EVENT_RETURNING_SCOUTS_BODY,Scouts thought lost return with torn maps and news of a passable route.
STORY_EVENT_HEALERS_PILGRIMAGE_TITLE,White herbs and quiet bells
STORY_EVENT_HEALERS_PILGRIMAGE_BODY,Travelling healers ask shelter while they tend wounds gathered on the road.
STORY_EVENT_OATHBOUND_RANGERS_TITLE,An oath against the dark
STORY_EVENT_OATHBOUND_RANGERS_BODY,Rangers from a fallen ward offer their bows if the colony accepts their burden.
STORY_EVENT_CREEPING_ROOTS_TITLE,Roots under the granary
STORY_EVENT_CREEPING_ROOTS_BODY,Black roots press through the floorboards toward the colony's winter food.
STORY_EVENT_SILENT_TOTEM_TITLE,The totem without birds
STORY_EVENT_SILENT_TOTEM_BODY,A new Blight totem stands beyond the lamps and the surrounding woods have gone silent.
STORY_EVENT_INFECTED_WELL_TITLE,A violet skin on the water
STORY_EVENT_INFECTED_WELL_BODY,The nearest water carries a faint Blight sheen that was absent at dawn.
STORY_EVENT_HOLLOW_CHANT_TITLE,Voices below the soil
STORY_EVENT_HOLLOW_CHANT_BODY,A chant rises from empty ground whenever the Ember burns low.
STORY_EVENT_BESIEGED_OUTPOST_TITLE,Smoke on the supply road
STORY_EVENT_BESIEGED_OUTPOST_BODY,A neighboring ward signals that enemy builders have closed around its road.
STORY_EVENT_LIGHTNING_HARVEST_TITLE,Fire from the storm
STORY_EVENT_LIGHTNING_HARVEST_BODY,Lightning strikes emberglass deposits and leaves them singing with dangerous power.
STORY_EVENT_FLOODED_STOREHOUSE_TITLE,Water under the doors
STORY_EVENT_FLOODED_STOREHOUSE_BODY,Rising runoff reaches a storehouse and workers argue over what to save first.
STORY_EVENT_FOGBOUND_PATROL_TITLE,Bells in the fog
STORY_EVENT_FOGBOUND_PATROL_BODY,A route patrol rings its return bell from somewhere beyond the visible road.
STORY_EVENT_HAIL_ON_ROOFS_TITLE,Stones from a white sky
STORY_EVENT_HAIL_ON_ROOFS_BODY,Hail batters workshops while the region's exposed crop bends under its weight.
STORY_EVENT_ASHFALL_TITLE,Ash at noon
STORY_EVENT_ASHFALL_BODY,Blight ash rides the stormfront and turns daylight the color of old iron.
STORY_EVENT_FAILED_HARVEST_TITLE,Empty sheaves
STORY_EVENT_FAILED_HARVEST_BODY,The region's expected harvest comes in light and several households face empty shelves.
STORY_EVENT_DRY_CISTERN_TITLE,Stone above a dry echo
STORY_EVENT_DRY_CISTERN_BODY,The deepest cistern answers the bucket with dust instead of water.
STORY_EVENT_HERB_BLOOM_TITLE,Bitter flowers after heat
STORY_EVENT_HERB_BLOOM_BODY,Rare medicinal flowers open where the drought pulled water from the marsh.
STORY_EVENT_RATION_DISPUTE_TITLE,The last sealed jar
STORY_EVENT_RATION_DISPUTE_BODY,Two households claim the same ration mark as tempers rise with the heat.
STORY_EVENT_EMBERWIND_TITLE,A wind that drinks flame
STORY_EVENT_EMBERWIND_BODY,A hot Blight wind bends every lamp away from the corrupted frontier.
UI_CONTROL,Control
CONTROL_HINT,Paint safe boundaries or issue a settlement-wide order.
CONTROL_PAINT_HINT,Drag across the world to paint. Tap the active tool again when finished.
CONTROL_FORBIDDEN,No civilians
CONTROL_WORK,Work area
CONTROL_GUARD,Guard patrol
CONTROL_ERASE,Erase
CONTROL_SHELTER,Shelter now
CONTROL_SHELTER_ON,Sheltering
CONTROL_SHELTER_OFF,The emergency shelter order has ended.
CONTROL_DUSK,Open after dusk
CONTROL_DUSK_ON,Closed after dusk
CONTROL_CLEANSE,Cleanse region
CONTROL_CLEANSE_PROGRESS,Cleansing · {0} dawns
CONTROL_PATH_BLOCKED,That route crosses a civilian safety boundary.
STORAGE_ALL,All goods
STORAGE_FOOD,Food only
STORAGE_MATERIALS,Raw materials
STORAGE_FINISHED,Finished goods
STORAGE_PRIORITY,Priority {0}
FORECAST_LINE,night {0}: ~{1} · {2} · {3}
FORECAST_TOOLTIP,Estimated threat {0}; defense readiness {1}. Possible enemies: {2}.
FORECAST_READY,prepared
FORECAST_CLOSE,close
FORECAST_DANGER,underdefended
FORECAST_WARNING,The coming night is stronger than this colony's current defenses.
CLEANSE_ALREADY_ACTIVE,A cleansing project is already underway.
CLEANSE_ALREADY_COMPLETE,There is no minor corruption left to cleanse.
CLEANSE_NESTS_REMAIN,Destroy every nest in this region first.
CLEANSE_TOO_CORRUPTED,The corruption is still too entrenched for a final cleansing.
CLEANSE_NEED_FAITH,The rite needs {0} Faith.
CLEANSE_NEED_SUPPLIES,The rite needs 30 stone and 18 tools.
CLEANSE_STARTED,The three-dawn cleansing of this region has begun.
CLEANSE_PROGRESS,The cleansing continues. {0} dawns remain.
CLEANSE_COMPLETE,This region has been cleansed of its remaining corruption.
REALM_RECOVER,Recover ruins
REALM_RECOVERY_NOT_RUIN,This colony does not need recovery.
REALM_RECOVERY_HEART,The First Hearth cannot be recovered this way.
REALM_RECOVERY_NEED_SETTLERS,Keep {0} settlers at the awake colony for a recovery party.
REALM_RECOVERY_NEED_SUPPLIES,Recovery needs 24 wood · 18 stone · 18 food.
REALM_RECOVERY_FAILED,The recovery party could not depart.
REALM_FALLEN_RECOVERY_SUMMARY,Fallen on day {0}. Its altered land and ruined buildings remain.\n\nRecovery: {1} wood · {2} stone · {3} food · {4} settlers
REALM_NOTICE_REFUGEES,{0} refugees from {1} reached the First Hearth.
REALM_NOTICE_RECOVERY_BEGINS,The recovery of {0} has begun. Rebuild before nightfall.
UI_MENU,Game menu
PAUSE_TITLE,Nightkeep paused
PAUSE_RESUME,Return to the colony
PAUSE_SETTINGS,Settings
PAUSE_CODEX,Field Guide
CODEX_SEARCH,Search the Field Guide
CODEX_NO_RESULTS,No matching guidance.
CODEX_OVERLAY_LINK,Relevant overlay: {0}
CODEX_DOCTRINES_TITLE,Doctrine choices
CODEX_DOCTRINES_BODY,Choose up to three doctrines when creating a realm. Each changes a benefit and a cost; none is required to use a core system.
CODEX_DAMAGE_TITLE,Damage and counters
CODEX_DAMAGE_BODY,Piercing answers light swarms; crushing breaks armor and structures; fire controls groups; holy burns Shades and Blight; elemental damage changes with weather. Inspect a forecast before committing ammunition.
CODEX_MODES_TITLE,Realm modes
CODEX_MODES_BODY,Homestead is forgiving; Survival is the intended balance; Besieged accelerates enemy development; Nightmare restricts recovery; Peaceful removes hostile spawning; Sandbox removes progression awards; Custom stays inside the same mobile-safe caps.
TUTORIAL_STORAGE_TITLE,Every item has a place
TUTORIAL_STORAGE_BODY,Resources live in reachable buildings and workshop buffers. A full or isolated store can stop work even when the colony total looks healthy; use the storage and logistics overlays to find the gap.
TUTORIAL_REPAIR_TITLE,Damage survives the night
TUTORIAL_REPAIR_BODY,Assign Repairers and keep the declared materials reachable. Priority and repair coverage decide which wall is restored first; untreated damage remains tomorrow.
TUTORIAL_HAND_TITLE,Use the Hand deliberately
TUTORIAL_HAND_BODY,Enter Hand mode before lifting. Tap an object then a valid destination; weight and reserved constructs show their Faith cost before confirmation.
TUTORIAL_ROUTES_TITLE,Caravans take time
TUTORIAL_ROUTES_BODY,Cargo leaves its source at departure and remains in transit for one or more days. Weather Blight escorts and warded settlements shape the visible risk forecast; no off-screen courier is simulated.
PAUSE_SAVE_MENU,Save and return to main menu
PAUSE_SAVE_NOTE,Your active colony and Realm will be saved before leaving.
SUMMARY_NO_SURVIVORS,Game over · no survivors
SUMMARY_NO_SURVIVORS_BODY,The last villager has fallen. This run has ended and its active save has been retired.
UI_MARK_AREA,Area
UI_DONE,Done
GATHER_PAINT,Mark
GATHER_ERASE,Erase
GATHER_RADIUS,Radius {0}
GATHER_BRUSH_HINT,Paint resources to gather
GATHER_BRUSH_STATUS,{0} · {1} marked
GATHER_AREA_TOOLTIP,Choose where {0} may gather
OPTIONS_GAMEPLAY,Gameplay
OPTIONS_GRAPHICS,Graphics
OPTIONS_GRAPHICS_BATTERY,Battery · 30 FPS
OPTIONS_GRAPHICS_BALANCED,Balanced · 60 FPS
OPTIONS_GRAPHICS_QUALITY,Quality · 60 FPS
OPTIONS_GRAPHICS_NOTE,Graphics change presentation only. Simulation rules and outcomes stay identical.
OPTIONS_HANDEDNESS,Button layout
OPTIONS_RIGHT_HANDED,Right-handed
OPTIONS_LEFT_HANDED,Left-handed
OPTIONS_HOLD_DURATION,Hold duration
SAVE_RECOVERED,The newest autosave was damaged. Nightkeep recovered the previous valid checkpoint.
RESOURCE_ORE,ore
RESOURCE_EMBERGLASS,emberglass
RESOURCE_HERBS,herbs
RESOURCE_INGOTS,ingots
RESOURCE_RATIONS,rations
RESOURCE_MEDICINE,medicine
RESOURCE_ARROWS,arrows
RESOURCE_BOLTS,bolts
BUILDING_STONE_WALL,Stone Wall
BUILDING_STONE_WALL_DESC,Dressed stone resists arrows and flame but still yields to crushing siege attacks.
BUILDING_EMBER_RAMPART,Ember Rampart
BUILDING_EMBER_RAMPART_DESC,A consecrated final wall that resists Blight and lights the ground around it.
BUILDING_REINFORCED_GATE,Reinforced Gate
BUILDING_REINFORCED_GATE_DESC,An iron-bound gate that keeps the funnel open for villagers and costly for the horde.
BUILDING_SPIKE_BARRICADE,Spike Barricade
BUILDING_SPIKE_BARRICADE_DESC,Cheap close defence that punishes swarms but burns easily and cannot hold a line alone.
BUILDING_CINDER_TRAP,Cinder Trap
BUILDING_CINDER_TRAP_DESC,A low fire trap that scorches clustered attackers. Strong against crowds and vulnerable to attrition.
BUILDING_BOW_TOWER,Bow Tower
BUILDING_BOW_TOWER_DESC,Rapid anti-swarm fire with excellent reach. Every shot consumes one arrow.
BUILDING_BALLISTA,Ballista
BUILDING_BALLISTA_DESC,Slow piercing bolts built to break armor and priority targets at long range.
BUILDING_CATAPULT,Catapult
BUILDING_CATAPULT_DESC,Stone ammunition lands in a wide crushing blast and can prioritize Blight structures.
BUILDING_EMBER_BEACON,Ember Beacon
BUILDING_EMBER_BEACON_DESC,A holy light that hunts phasing creatures and Blight works while reserving a steady flow of Faith.
BUILDING_BANISH_SPIRE,Banish Spire
BUILDING_BANISH_SPIRE_DESC,A Faith-fed control tower that throws attackers back from gates and damaged walls.
BUILDING_STORM_ROD,Storm Rod
BUILDING_STORM_ROD_DESC,Chains elemental force through clustered enemies. Storms greatly empower it and damage the rod in return.
BUILDING_BRIDGE,Bridge
BUILDING_BRIDGE_DESC,Paint a walkable timber crossing over shallow water. Deep water remains impassable.
BUILDING_MAINTENANCE_YARD,Maintenance Yard
BUILDING_MAINTENANCE_YARD_DESC,Unlocks dedicated Repairers who restore damaged structures with declared materials.
BUILDING_AMMO_STORE,Ammo Store
BUILDING_AMMO_STORE_DESC,A forward drop point intended for arrows and bolts so defensive supply lines stay short.
BUILDING_GRANARY,Granary
BUILDING_GRANARY_DESC,A high-capacity food store prepared for raw food herbs and preserved rations.
BUILDING_WAREHOUSE,Warehouse
BUILDING_WAREHOUSE_DESC,A large general store for a developed settlement and its production chains.
BUILDING_BARRACKS,Barracks
BUILDING_BARRACKS_DESC,Fortified beds keep defenders close to the wall and recover them between attacks.
BUILDING_RANGER_LODGE,Ranger Lodge
BUILDING_RANGER_LODGE_DESC,A forward lodge with beds light and stores for patrol supplies.
BUILDING_KITCHEN,Kitchen
BUILDING_KITCHEN_DESC,Cooks raw food into compact nourishing rations under a maintain-stock policy.
BUILDING_APOTHECARY,Apothecary
BUILDING_APOTHECARY_DESC,Combines herbs and food into medicine for the clinic system.
BUILDING_BOWYER,Bowyer
BUILDING_BOWYER_DESC,Turns boards into bundles of arrows for rapid-fire towers.
BUILDING_SMELTER,Smelter
BUILDING_SMELTER_DESC,Burns wood with mined ore to produce durable metal ingots.
BUILDING_FORGE,Forge
BUILDING_FORGE_DESC,An alternate tool chain using boards and ingots instead of cut stone.
BUILDING_ARMORY,Armory
BUILDING_ARMORY_DESC,Manufactures heavy ballista bolts now and will outfit defenders as equipment comes online.
BUILDING_BOTTLER,Bottler
BUILDING_BOTTLER_DESC,A protected water point prepared to fill reusable waterskins when equipment comes online.
JOB_REPAIRING,Repairing
JOB_COOKING,Cooking
JOB_MEDICINE_MAKING,Medicine making
JOB_FLETCHING,Fletching
JOB_SMELTING,Smelting
JOB_FORGING,Forging
JOB_ARMORING,Armoring
JOB_RANGER,Ranger
JOB_BOTTLING,Bottling
JOB_LUMBERER,Lumberer
JOB_MINER,Miner
JOB_MEDIC,Medic
BUILDING_LUMBER_LODGE,Lumber Lodge
BUILDING_LUMBER_LODGE_DESC,Employs lumberers who harvest designated trees within its local catchment.
BUILDING_MINING_CAMP,Mining Camp
BUILDING_MINING_CAMP_DESC,Employs miners who extract designated stone and ore within its local catchment.
BUILDING_CLINIC,Clinic
BUILDING_CLINIC_DESC,Medics spend medicine to heal wounds infection poison and Blight sickness.
BLD_STORAGE," · storage {0}/{1}"
BLD_INPUTS," · inputs {0}/{1}"
BLD_OUTPUTS," · output {0}/{1}"
SELECT_IDENTITY,"{0} · day {1} · {2}"
SELECT_CHILD,Child
SELECT_EQUIPMENT," · gear: {0}"
ITEM_STONE_AXE,Stone Axe
ITEM_IRON_AXE,Iron Axe
ITEM_PICKAXE,Pickaxe
ITEM_REPAIR_HAMMER,Repair Hammer
ITEM_HARVEST_SICKLE,Harvest Sickle
ITEM_WOOD_CLUB,Wood Club
ITEM_IRON_SWORD,Iron Sword
ITEM_ASH_SPEAR,Ash Spear
ITEM_SHORTBOW,Shortbow
ITEM_LONGBOW,Longbow
ITEM_FIELD_CROSSBOW,Field Crossbow
ITEM_FORGE_MACE,Forge Mace
ITEM_PADDED_COAT,Padded Coat
ITEM_LEATHER_ARMOR,Leather Armor
ITEM_MAIL_SHIRT,Mail Shirt
ITEM_EMBERPLATE,Emberplate
ITEM_WOOD_SHIELD,Wood Shield
ITEM_IRON_SHIELD,Iron Shield
ITEM_BLIGHT_WARD,Blight Ward
ITEM_WATERSKIN,Waterskin
ITEM_BANDAGE,Bandage
ITEM_MEDICINE_VIAL,Medicine Vial
ITEM_ANTIDOTE,Antidote
ITEM_EMBER_TONIC,Ember Tonic
EQUIP_BEST,Gear: best available
EQUIP_PRESERVE,Gear: preserve durability
EQUIP_NONE,Gear: none
TARGET_POLICY,target: {0}
TARGET_NEAREST,nearest
TARGET_STRONGEST,strongest
TARGET_WEAKEST,weakest
TARGET_STRUCTURE,structures
TARGET_PHASING,phasing
TARGET_MARKED,marked
REPAIR_PRIORITY,repair P{0}
PRODUCTION_PAUSE,pause
PRODUCTION_RESUME,resume
WORKER_LIMIT,workers {0}/{1}
PRODUCTION_PRIORITY,work P{0}
PRODUCTION_MAINTAIN,keep {0}
PRODUCTION_MAINTAIN_OFF,keep: off
BLD_AMMO," · {0} {1}"
BLD_FAITH_UPKEEP," · {0}/s Faith"
LEDGER_UPKEEP,{0} upkeep
BLIGHT_GRAVEYARD,blight graveyard
BLIGHT_GRAVEYARD_DESC,A spawning ground that houses another worker and adds bodies to every night.
BLIGHT_DEFENSE_TOWER,blight thorn tower
BLIGHT_DEFENSE_TOWER_DESC,A rooted ranged organ that attacks villagers who push into the enemy camp.
BLIGHT_ROAD_NODE,blight road node
BLIGHT_ROAD_NODE_DESC,A pulsing junction that supports another worker and hastens nearby creatures.
BLIGHT_SIEGE_WORKSHOP,blight siege workshop
BLIGHT_SIEGE_WORKSHOP_DESC,A heavy growth that feeds wall-breakers and sharply raises nightly pressure.
BLIGHT_CORRUPTION_WELL,corruption well
BLIGHT_CORRUPTION_WELL_DESC,A durable economic heart that supports two workers and intensifies the surrounding Blight.
UI_HAND,Hand
HAND_PICK,Hand: choose
HAND_HOLDING,Hand: held · {0}+ Faith
HAND_INVALID_TARGET,The Hand can lift one villager or a light unrooted enemy.
HAND_INVALID_DROP,The Hand needs open walkable ground.
HAND_NEED_FAITH,The Hand needs at least {0} Faith for that move.
HAND_PREVIEW,Hand: {0} Faith · {1}
HAND_VALID,release to place
HAND_BLOCKED,blocked
BUILDING_LABOR_EFFIGY,Labor Effigy
BUILDING_LABOR_EFFIGY_DESC,A dismissible divine construct that accelerates nearby work while its Faith upkeep is sustained.
BUILDING_ASH_SENTINEL,Ash Sentinel
BUILDING_ASH_SENTINEL_DESC,A dismissible holy tower called directly from the Ember and sustained by Faith.
POWER_MEND,Mend
POWER_MEND_DESC,Restores health to villagers and completed structures in a small area.
POWER_RECALL,Recall
POWER_RECALL_DESC,Returns the nearest villager under the target to safe ground beside the Hearth.
POWER_KINDLE,Kindle
POWER_KINDLE_DESC,Ignites a temporary light and scorches corrupted creatures standing at its center.
POWER_HARVEST,Harvest
POWER_HARVEST_DESC,Instantly gathers natural resources in the target area into colony stores.
POWER_CONJURE_MATERIAL,Conjure Material
POWER_CONJURE_MATERIAL_DESC,Creates a small emergency stack of stone when terrain or routes have cut the colony off.
POWER_HALLOW_WALL,Hallow Wall
POWER_HALLOW_WALL_DESC,Repairs nearby structures and temporarily halves Blight damage against them.
POWER_LABOR_EFFIGY,Labor Effigy
POWER_LABOR_EFFIGY_DESC,Calls a persistent work aura. Up to eight may stand and each continuously consumes Faith.
POWER_ASH_SENTINEL,Ash Sentinel
POWER_ASH_SENTINEL_DESC,Calls a persistent holy defender. Up to eight may stand and each continuously consumes Faith.
POWER_BANISH,Banish
POWER_BANISH_DESC,Damages and throws every light enemy away from the chosen center.
POWER_CHARM,Charm
POWER_CHARM_DESC,Temporarily removes one non-boss creature from the hostile force and sends it back toward camp.
POWER_STORMCALL,Stormcall
POWER_STORMCALL_DESC,Forces a severe storm that empowers Storm Rods while worsening travel and corruption risk.
POWER_LAST_RITE,Last Rite
POWER_LAST_RITE_DESC,A costly final intervention that heals allies and burns corrupted enemies across a broad area.
MONSTER_HUSK,Husk
MONSTER_CINDERLING,Cinderling
MONSTER_VEILWALKER,Veilwalker
MONSTER_PLAGUEBEARER,Plaguebearer
MONSTER_BLIGHT_MENDER,Blight Mender
MONSTER_RAMMER,Rammer
MONSTER_NEEDBACK,Needleback
MONSTER_BLIGHT_SAPPER,Blight Sapper
MONSTER_GLOOMWING,Gloomwing
MONSTER_ROT_LEECH,Rot Leech
MONSTER_SIEGE_SPORE,Siege Spore
BOSS_MIRE_MATRON,Mire Matron
BOSS_CINDER_COLOSSUS,Cinder Colossus
BOSS_FROST_WIDOW,Frost Widow
BOSS_HEART_WARDEN,Heart Warden
NOTICE_EMPOWERED_NIGHT,An empowered Blight wave is coming. Its creatures are larger and worth more Faith.
NOTICE_BOSS_RISES,{0} rises to defend the Blight.
NOTICE_BOSS_FALLS,{0} falls. The colony recovers {1} emberglass.
UI_LIBRARY,Library
LIBRARY_TITLE,Tome Library
LIBRARY_AUTO,Auto-manage
LIBRARY_CAPACITY,Installed {0}/{1}
LIBRARY_EMPTY,No Tomes yet. Assign priests at a Shrine to write the first one.
LIBRARY_ROW,{0} · {1}% · +{2}/s
LIBRARY_INSPECT,Info
LIBRARY_INSTALL,Install
LIBRARY_REMOVE,Shelve
LIBRARY_LOCK,Lock
LIBRARY_UNLOCK,Unlock
LIBRARY_COMBINE,Merge
LIBRARY_INSPECT_HINT,Tap Info to compare durability, Faith rate, toughness, and tradeoffs.
LIBRARY_DETAILS,"{0} · durability {1}% · Faith +{2}/s · toughness {3}\n{4}"
LIBRARY_NO_SLOT,No free Tome slot. Shelve another book or expand the Temple.
LIBRARY_COMBINE_NEEDS,Merge needs three unlocked shelved Tomes of the same tier.
UI_DISMISS,Dismiss
UI_DISMISS_CONFIRM,Sure? Dismiss
